UID	Weight_g	Length_mm	Width_mm	Height_mm	boxID	sex	Viscera_wt	fillet_wt_g	OBS	Notes
2024-10-07_0024	1548	49.5	79	110	1	M	166	1076	OKSANA	
2024-10-07_0025	1144	47.5	64	99	1	M	91.6	723	TORSTEN	
2024-10-07_0026	1078	43.5	66	93	1	M	88	686	OKSANA	
2024-10-07_0027	1498	46.8	74	102	1	M	139	971.9	TORSTEN	
2024-10-07_0028	1797	50.7	77	113	1	M	166.5	1192.1	T	
2024-10-07_0029	1500	46.5	73	114	1	M	184	954	O	
2024-10-07_0030	1239	45	66	101	1	M	82	812	O	
2024-10-07_0031	1515	48.5	80	109	1	M	161	971.5	T	
2024-10-07_0032	1143	48	67	99	1	M	76	738	O	
2024-10-07_0033	1455	46.6	72	104	1	M	148.8	907.4	T	
2024-10-07_0034	1220	46.5	64	97	1	M	90	790	OO	
2024-10-07_0036	1065	41	66	89	1	M	86	690	OO	
2024-10-07_0038	1448	46.4	76	109	1	M	130	932	OO	
2024-10-07_0039	1634	47.8	80	117	1	M	167.9	1062	T	
2024-10-07_0041	1267	46	66	96	1	M	132.4	824	T	
2024-10-07_0044	1174	42.5	68	100	1	M	76	770	O	
2024-10-07_0045	1640	47.9	79	111	1	M	173.8	1041.6	T	
2024-10-07_0046	1542	44.4	76	110	1	M	142	998	O	
2024-10-07_0047	1198	44.8	69	105	1	M	123.2	805	T	
2024-10-07_0048	1665	48.9	77	111	1	M	130	1086	O	
2024-10-07_0049	1580	47.2	76	110	1	M	110	1029	T	DEFORMED
2024-10-07_0051	1736	49.4	82	118	1	M	208	1126.7	T	
2024-10-07_0053	1152	45.1	68	95	1	M	87.5	748.9	T	DEFORMED
2024-10-07_0054	1311	46.3	68	103	1	M	96	886	O	
2024-10-07_0055	955	44.1	61	84	1	M	42.2	656	T	DEFECT
2024-10-07_0056	1702	50.3	80	111	1	M	160	1104	O	
2024-10-07_0057	1626	46.9	79	112	1	M	214	1001	T	
2024-10-07_0058	1462	46.5	74	104	1	M	106	968	O	
2024-10-07_0059	1340	46.8	76	104	1	M	92.7	907	T	
2024-10-07_0060	1444	46	69	101	1	M	84	970	O	DEFECT
2024-10-07_0061	792	39.5	56	87	1	M	66	498	T	DEFECT
2024-10-08_0001	1152	44.7	56	96	2	M	90	782.4	T 	BAD NOSE
2024-10-08_0002	895	39.8	66	85	2	M	64	584	S	
2024-10-08_0003	1222	44	67	99	2	M	108.4	797.3	T	
2024-10-08_0004	984	41.7	58	91	2	M	80.8	660	T	
2024-10-08_0005	1302	44.5	74	99	2	M	104	782	S	
2024-10-08_0006	1411	46.5	75	105	2	M	144	925.5	T	
2024-10-08_0007	1097	41.4	67	93	2	M	90.5	720	T	DEFORMED
2024-10-08_0008	909	41	59	84	2	M	52	628	T	
2024-10-08_0013	1319	45	69	99	2	M	108	842	S	DEFORMED
2024-10-08_0014	1222	44.5	65.5	94	2	M	125	802	T	
2024-10-08_0015	1201	46	64	99	2	M	102	740.15	S	
2024-10-08_0016	947	44	60	84	2	M	56	631	T	
2024-10-08_0017	1020	43.5	61	89	2	M	84	630	S	
2024-10-08_0018	1290	46.2	71	100	2	M	123.5	840	T	
2024-10-08_0019	991	43.2	61	91	2	M	71	666	T	
2024-10-08_0021	1519	45	73	105	2	M	141.8	1000.2	T	DEFORMED
2024-10-08_0022	926	43.9	62	84	2	M	62	484	S	
2024-10-08_0023	642	38.4	52	68	2	M	30	422.5	T	DEFORMED
2024-10-08_0024	1119	45	63	95	2	M	84	682	S	DEFORMED
2024-10-08_0025	1641	47.6	76	109	2	M	160	1057	T	DEFORMED
2024-10-08_0026	1333	45.6	71	104	2	M	110	842	S	
2024-10-08_0028	953	43	60	48	2	M	74.8	624	T	DEFORMED
2024-10-08_0029	1438	46.9	68	116	2	M	150	878	S	DEFORMED
2024-10-08_0031	797	42	56	81	2	M	48.4	517.5	T	ISSUE
2024-10-08_0032	1154	44.5	63	90	2	M	90	736	S	
2024-10-08_0033	1143	44.5	65	90	2	M	81.6	755.3	T	
2024-10-08_0035	1225	44	64	91	2	M	98	772	S	DEFORMED
2024-10-08_0036	1209	43.5	86	101	2	M	130	767.2	T	DEFORMED
2024-10-08_0037	1590	46.5	72	105	2	M	160	926	S	
2024-10-08_0038	1296	46.5	64	90	2	M	103.3	855.1	T	
2024-10-08_0039	1141	44.5	62	86.5	2	M	89	767.5	T	ISSUE
2024-10-08_0040	975	42.5	57	87	2	M	80	604	S	
2024-10-08_0041	1005	41	59	85	2	M	78.5	645.5	T	ISSUE
2024-10-08_0042	1536	46.5	76	102	2	M	174	934	S	
2024-10-08_0043	1218	44.5	61	92	2	M	110	778	T	
2024-10-08_0044	1503	47	68	96	2	M	148.1	993	T	
2024-10-08_0045	1884	50	79	111	2	M	220	1110	S	
2024-10-08_0046	1177	44.2	61	89	2	M	93	787	T	
2024-10-08_0047	1048	45	56	83	2	M	75.3	694.5	T	
2024-10-08_0049	990	42.4	59	87	2	M	73.3	656	T	ISSUE
2024-10-08_0050	968	42.5	60	88	2	M	90	616	S	
2024-10-08_0053	890	41	60	85	2	M	84	526	S	DEFORMED
2024-10-08_0055	1237	43	69	104	2	M	128	752	S	
2024-10-08_0058	1170	43.2	65	94	2	M	82.3	744.3	T	
2024-10-08_0064	1272	46.5	70	97	2	M	117.2	804.5	T	DEFORM
2024-10-08_0065	1498	47.5	70	105	2	M	133.2	1001.9	T	
2024-10-08_0066	1533	48	74	104	2	M	188	932	S	
2024-10-08_0067	907	42	61	85	2	M	80	955.5	T	
2024-10-08_0068	1215	43	66	93	2	M	84.4	795	T	
2024-10-08_0073	996	42.3	61	84	2	M	83	649	T	
2024-10-08_0074	1226	45.2	67	95	2	M	99.4	801.2	T	
2024-10-08_0079	966	43.5	60	85	2	M	68	632	O	
2024-10-08_0080	902	41.5	57	82	2	M	70	582.5	T	
2024-10-08_0081	885	42.5	57	86	2	M	62	562	O	DEFORM
2024-10-08_0083	1610	45	75	113	3	M	204	968	O	DEFORM
2024-10-08_0084	1126	45.4	61	87	3	M	76	748.7	T	
2024-10-08_0085	982	41.5	69	90	3	M	78	604	O	
2024-10-08_0086	896	42.5	56	82	3	M	66	585.7	T	
2024-10-08_0088	734	39	50	75	3	M	53.7	476	T	DEFORM
2024-10-08_0089	1415	42.5	75	102	3	M	167.5	860	T	DEFORM
2024-10-08_0091	1310	46.3	70	97	3	M	122.7	847	T	DEFORM
2024-10-08_0094	1113	44.3	60	88	3	M	76	760	O	DEFORM
2024-10-08_0095	1391	46.3	71	97	3	M	109	917	T	DEFORM
2024-10-08_0096	713	37	50	75	3	M	40	446	O	DEFORM
2024-10-08_0097	1463	44.8	69	109	3	M	184	907	T	DEFORM
2024-10-08_0098	1046	43.7	64	87	3	M	86	692	O	DEFORM
2024-10-14_0001	1234	43.7	65	101	3	M	36.3	787.8	T	DEFORMED
2024-10-14_0005	1301	45.3	73	97	3	M	138.3	826	T	
2024-10-14_0009	686	37.6	53	79	3	M	42.6	452.4	T	DEFORMED
2024-10-14_0010	664	39	47	70	3	M	26	426	O	
2024-10-14_0011	1014	42.3	62	94	3	M	124.8	628.7	T	DEFORMED
2024-10-14_0012	878	41.1	57	86	3	M	78	552	O	
2024-10-14_0013	1239	43.8	67	102	3	M	112.4	808.4	T	DEFORMED
2024-10-14_0014	879	40.4	60	85	3	M	101.6	529.2	T	
2024-10-14_0015	777	41.3	49	72	3	M	40	502	O	
2024-10-14_0017	1163	42.3	64	93	3	M	110	749	T	
2024-10-14_0018	904	39	54	85	3	M	82	574	O	
2024-10-14_0019	1096	43.7	63	89	3	M	117	703.3	T	
2024-10-14_0022	741	39.2	52	80	3	M	44	486	O	
2024-10-14_0023	1500	44.4	75	107	3	M	171	962	T	DEFORMED
2024-10-14_0026	774	39.7	55	79	3	M	44	494	O	
2024-10-14_0027	1409	44	72	109	3	M	276	862	T	
2024-10-14_0032	829	39.9	52	79	3	M	50	514	O	DEFORMED
2024-10-14_0033	933	42.2	64	88	3	M	67.5	596	T	
2024-10-14_0034	657	37.2	49	73	3	M	48	422	O	
2024-10-14_0037	1001	42.5	65	89	3	M	103.5	628.2	T	DEFORMED
2024-10-14_0038	755	39.2	57	77	3	M	48	492	O	
2024-10-14_0039	668	37	52	74	3	M	60	424	T	
2024-10-14_0040	612	38.5	48	67	3	M	22	394	O	DEFORMED
2024-10-14_0041	634	37	46	72	3	M	41	374	T	DEFORMED
2024-10-14_0042	348	34.5	35	59	3	M	8	184	O	DEFORMED
2024-10-14_0044	924	43	61	89	3	M	60	572	O	
2024-10-14_0051	646	38.2	50	67	3	M	32	424	O	
2024-10-14_0052	697	38.5	49	71	3	M	41	456.4	T	DEFORMED
2024-10-14_0053	1378	45.4	69	99	3	M	154	866	O	
2024-10-14_0055	1337	44.7	69	100	3	M	146	852	O	DEFORMITY
2024-10-14_0056	1598	47	70	110	3	M	185	1025	T	
2024-10-14_0058	1357	44.2	67	98	3	M	183	846	T	
2024-10-14_0060	1186	43.5	65	95	3	M	123.5	758	T	
2024-10-14_0062	979	43.5	55	85	3	M	52	646	O	
2024-10-14_0063	1010	43	60	85	3	M	104	630	T	
2024-10-14_0065	952	39.5	59	88	3	M	78.8	621	T	DEFORMITY
2024-10-14_0066	1251	44	68	100	3	M	128	772	O	DEFORMITY
2024-10-14_0068	1133	42	64	93	3	M	110	722	O	DEFORMITY
2024-10-14_0071	783	38	53	77	3	M	70.5	504.5	T	
2024-10-14_0074	727	39	51	75	3	M	45	479	T	
2024-10-14_0076	718	41	50	76	3	M	34	488	T	
2024-10-14_0078	628	38.5	48	69	3	M	30	392	O	DEFORMITY
2024-10-14_0079	1415	46	68	102	3	M	197	888	T	DEFORMITY
2024-10-14_0080	1280	44.7	64	99	3	M	144	776	O	DEFORMITY
2024-10-14_0081	1430	44.5	68	105	3	M	147	902	T	
2024-10-14_0082	1584	49.5	72	102	4	M	146	1006	O	
